case_id,status,message
00039,LOAD_REJECTED_ALGEBRAIC,"Unable to support algebraic rules.  The formula '0 = -1 * k1 + S1 + S2' is not supported., at rrllvm::LLVMModelDataSymbols::LLVMModelDataSymbols(const libsbml::Model*, unsigned int)"
00040,LOAD_REJECTED_ALGEBRAIC,"Unable to support algebraic rules.  The formula '0 = -1 * k2 + S1 + S2' is not supported., at rrllvm::LLVMModelDataSymbols::LLVMModelDataSymbols(const libsbml::Model*, unsigned int)"
00182,LOAD_REJECTED_ALGEBRAIC,"Unable to support algebraic rules.  The formula '0 = -1 * k1 + S1 + S2' is not supported., at rrllvm::LLVMModelDataSymbols::LLVMModelDataSymbols(const libsbml::Model*, unsigned int)"
00184,LOAD_REJECTED_ALGEBRAIC,"Unable to support algebraic rules.  The formula '0 = add(S1, add(S2, -1 * k1))' is not supported., at rrllvm::LLVMModelDataSymbols::LLVMModelDataSymbols(const libsbml::Model*, unsigned int)"
00531,LOAD_REJECTED_ALGEBRAIC,"Unable to support algebraic rules.  The formula '0 = (k3 + 1) * S1 - T' is not supported., at rrllvm::LLVMModelDataSymbols::LLVMModelDataSymbols(const libsbml::Model*, unsigned int)"
00532,LOAD_REJECTED_ALGEBRAIC,"Unable to support algebraic rules.  The formula '0 = -1 * S1 + T + X0 + X1' is not supported., at rrllvm::LLVMModelDataSymbols::LLVMModelDataSymbols(const libsbml::Model*, unsigned int)"
00533,LOAD_REJECTED_ALGEBRAIC,"Unable to support algebraic rules.  The formula '0 = k2 + -0.9' is not supported., at rrllvm::LLVMModelDataSymbols::LLVMModelDataSymbols(const libsbml::Model*, unsigned int)"
00534,LOAD_REJECTED_ALGEBRAIC,"Unable to support algebraic rules.  The formula '0 = k2 + -1 * k3 + -0.2' is not supported., at rrllvm::LLVMModelDataSymbols::LLVMModelDataSymbols(const libsbml::Model*, unsigned int)"
00535,LOAD_REJECTED_ALGEBRAIC,"Unable to support algebraic rules.  The formula '0 = S4 + -1 * S1' is not supported., at rrllvm::LLVMModelDataSymbols::LLVMModelDataSymbols(const libsbml::Model*, unsigned int)"
00536,LOAD_REJECTED_ALGEBRAIC,"Unable to support algebraic rules.  The formula '0 = k1 + -0.1' is not supported., at rrllvm::LLVMModelDataSymbols::LLVMModelDataSymbols(const libsbml::Model*, unsigned int)"
00537,LOAD_REJECTED_ALGEBRAIC,"Unable to support algebraic rules.  The formula '0 = k2 + -0.2' is not supported., at rrllvm::LLVMModelDataSymbols::LLVMModelDataSymbols(const libsbml::Model*, unsigned int)"
00538,LOAD_REJECTED_ALGEBRAIC,"Unable to support algebraic rules.  The formula '0 = k2 + -0.25' is not supported., at rrllvm::LLVMModelDataSymbols::LLVMModelDataSymbols(const libsbml::Model*, unsigned int)"
